EcoTypeID,VegID,ShrubSpecFrac
-999,GFShrub,1
999,GFShrub,1
1001,GFShrub,1
1002,GFShrub,1
1003,GFShrub,1
1004,GFShrub,1
1005,GFShrub,1
1006,GFShrub,1
1007,GFShrub,1
1008,GFShrub,1
1009,GFShrub,1
1010,GFShrub,1
1011,GFShrub,1
1012,GFShrub,1
1013,GFShrub,1
1014,GFShrub,1
1015,GFShrub,1
1016,GFShrub,1
1017,GFShrub,1
1018,GFShrub,1
1019,GFShrub,1
1020,GFShrub,1
1021,GFShrub,1
1022,GFShrub,1
1023,GFShrub,1
1024,GFShrub,1
1025,GFShrub,1
1026,GFShrub,1
1027,GFShrub,1
1028,GFShrub,1
1029,GFShrub,1
1030,GFShrub,1
1031,GFShrub,1
1032,GFShrub,1
1033,GFShrub,1
1034,GFShrub,1
1035,GFShrub,1
1036,GFShrub,1
1037,GFShrub,1
1038,GFShrub,1
1039,GFShrub,1
1040,GFShrub,1
1041,GFShrub,1
1042,GFShrub,1
1043,GFShrub,1
1044,GFShrub,1
1045,GFShrub,1
1046,GFShrub,1
1047,GFShrub,1
1048,GFShrub,1
1049,GFShrub,1
1050,GFShrub,1
1051,GFShrub,1
1052,GFShrub,1
1053,GFShrub,1
1054,GFShrub,1
1055,GFShrub,1
1056,GFShrub,1
1057,GFShrub,1
1058,GFShrub,1
1059,GFShrub,1
1060,GFShrub,1
1061,GFShrub,1
1062,GFShrub,1
1063,GFShrub,1
1064,GFShrub,1
1065,GFShrub,1
1066,GFShrub,1
1067,GFShrub,1
1068,GFShrub,1
1069,GFShrub,1
1070,GFShrub,1
1071,GFShrub,1
1072,GFShrub,1
1073,GFShrub,1
1074,GFShrub,1
1075,GFShrub,1
1079,GFShrub,1
1080,GFShrub,1
1090,GFShrub,1
1091,GFShrub,1
1092,GFShrub,1
1093,GFShrub,1
1096,GFShrub,1
1097,GFShrub,1
1098,GFShrub,1
1099,GFShrub,1
2203,GFShrub,1
2205,GFShrub,1
2210,GFShrub,1
2212,GFShrub,1
2214,GFShrub,1
2215,GFShrub,1
2218,GFShrub,1
2219,GFShrub,1
2221,GFShrub,1
2223,GFShrub,1
2227,GFShrub,1
2230,GFShrub,1
2231,GFShrub,1
2241,GFShrub,1
2243,GFShrub,1
2246,GFShrub,1
2252,GFShrub,1
2254,GFShrub,1
2255,GFShrub,1
2256,GFShrub,1
2257,GFShrub,1
2260,GFShrub,1
2261,GFShrub,1
2262,GFShrub,1
2263,GFShrub,1
2264,GFShrub,1
2265,GFShrub,1
2266,GFShrub,1
2267,GFShrub,1
2272,GFShrub,1
2276,GFShrub,1
2278,GFShrub,1
2279,GFShrub,1
2280,GFShrub,1
2281,GFShrub,1
2282,GFShrub,1
2287,GFShrub,1
2291,GFShrub,1
2295,GFShrub,1
2299,GFShrub,1
2306,GFShrub,1
2307,GFShrub,1
2309,GFShrub,1
2314,GFShrub,1
2317,GFShrub,1
2318,GFShrub,1
2319,GFShrub,1
2320,GFShrub,1
2321,GFShrub,1
2324,GFShrub,1
2325,GFShrub,1
2328,GFShrub,1
2329,GFShrub,1
2331,GFShrub,1
2332,GFShrub,1
2340,GFShrub,1
2343,GFShrub,1
2344,GFShrub,1
2347,GFShrub,1
2349,GFShrub,1
2350,GFShrub,1
2352,GFShrub,1
2353,GFShrub,1
2354,GFShrub,1
2355,GFShrub,1
2357,GFShrub,1
2364,GFShrub,1
2368,GFShrub,1
2400,GFShrub,1
2401,GFShrub,1
2402,GFShrub,1
2403,GFShrub,1
2404,GFShrub,1
2405,GFShrub,1
2406,GFShrub,1
2407,GFShrub,1
2408,GFShrub,1
2409,GFShrub,1
2410,GFShrub,1
2411,GFShrub,1
2412,GFShrub,1
2413,GFShrub,1
2414,GFShrub,1
2415,GFShrub,1
3001,GFShrub,1
3002,GFShrub,1
3003,GFShrub,1
3004,GFShrub,1
3006,GFShrub,1
3007,GFShrub,1
3008,GFShrub,1
3009,GFShrub,1
3011,GFShrub,1
3012,GFShrub,1
3013,GFShrub,1
3014,GFShrub,1
3015,GFShrub,1
3016,GFShrub,1
3017,GFShrub,1
3018,GFShrub,1
3019,GFShrub,1
3020,GFShrub,1
3021,GFShrub,1
3022,GFShrub,1
3023,GFShrub,1
3024,GFShrub,1
3025,GFShrub,1
3026,GFShrub,1
3027,GFShrub,1
3028,GFShrub,1
3029,GFShrub,1
3030,GFShrub,1
3031,GFShrub,1
3032,GFShrub,1
3033,GFShrub,1
3034,GFShrub,1
3035,GFShrub,1
3036,GFShrub,1
3037,GFShrub,1
3038,GFShrub,1
3039,GFShrub,1
3041,GFShrub,1
3042,GFShrub,1
3043,GFShrub,1
3044,GFShrub,1
3045,GFShrub,1
3046,GFShrub,1
3047,GFShrub,1
3048,GFShrub,1
3049,GFShrub,1
3050,GFShrub,1
3051,GFShrub,1
3052,GFShrub,1
3053,GFShrub,1
3054,GFShrub,1
3055,GFShrub,1
3056,GFShrub,1
3057,GFShrub,1
3058,GFShrub,1
3059,GFShrub,1
3060,GFShrub,1
3061,GFShrub,1
3062,GFShrub,1
3063,GFShrub,1
3064,GFShrub,1
3065,GFShrub,1
3066,GFShrub,1
3067,GFShrub,1
3068,GFShrub,1
3070,GFShrub,1
3071,GFShrub,1
3072,GFShrub,1
3074,GFShrub,1
3075,GFShrub,1
3076,GFShrub,1
3077,GFShrub,1
3078,GFShrub,1
3079,GFShrub,1
3080,GFShrub,1
3081,GFShrub,1
3082,GFShrub,1
3083,GFShrub,1
3084,GFShrub,1
3085,GFShrub,1
3086,GFShrub,1
3087,GFShrub,1
3088,GFShrub,1
3090,GFShrub,1
3091,GFShrub,1
3092,GFShrub,1
3093,GFShrub,1
3094,GFShrub,1
3095,GFShrub,1
3096,GFShrub,1
3097,GFShrub,1
3098,GFShrub,1
3099,GFShrub,1
3100,GFShrub,1
3101,GFShrub,1
3103,GFShrub,1
3104,GFShrub,1
3105,GFShrub,1
3106,GFShrub,1
3107,GFShrub,1
3108,GFShrub,1
3109,GFShrub,1
3110,GFShrub,1
3111,GFShrub,1
3112,GFShrub,1
3113,GFShrub,1
3114,GFShrub,1
3115,GFShrub,1
3116,GFShrub,1
3117,GFShrub,1
3118,GFShrub,1
3119,GFShrub,1
3120,GFShrub,1
3121,GFShrub,1
3122,GFShrub,1
3123,GFShrub,1
3124,GFShrub,1
3125,GFShrub,1
3126,GFShrub,1
3127,GFShrub,1
3128,GFShrub,1
3129,GFShrub,1
3130,GFShrub,1
3131,GFShrub,1
3132,GFShrub,1
3133,GFShrub,1
3134,GFShrub,1
3135,GFShrub,1
3136,GFShrub,1
3137,GFShrub,1
3138,GFShrub,1
3139,GFShrub,1
3140,GFShrub,1
3141,GFShrub,1
3142,GFShrub,1
3143,GFShrub,1
3144,GFShrub,1
3145,GFShrub,1
3146,GFShrub,1
3147,GFShrub,1
3148,GFShrub,1
3149,GFShrub,1
3150,GFShrub,1
3151,GFShrub,1
3152,GFShrub,1
3153,GFShrub,1
3154,GFShrub,1
3155,GFShrub,1
3156,GFShrub,1
3157,GFShrub,1
3158,GFShrub,1
3159,GFShrub,1
3160,GFShrub,1
3161,GFShrub,1
3162,GFShrub,1
3163,GFShrub,1
3164,GFShrub,1
3165,GFShrub,1
3166,GFShrub,1
3167,GFShrub,1
3168,GFShrub,1
3169,GFShrub,1
